qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join,category
14812,queries/tpch/SQLStorm/14812.sql,15.116497,251.08282470703125,7,6,timeout
14822,queries/tpch/SQLStorm/14822.sql,15.114739,244.7822265625,6,5,timeout
14839,queries/tpch/SQLStorm/14839.sql,15.087847,241.993408203125,6,5,timeout
14861,queries/tpch/SQLStorm/14861.sql,15.08845,95.24127197265624,4,3,timeout
14940,queries/tpch/SQLStorm/14940.sql,15.252673,245.61981201171875,8,7,timeout
14952,queries/tpch/SQLStorm/14952.sql,15.091431,240.90625,5,4,timeout
14953,queries/tpch/SQLStorm/14953.sql,15.063805,90.5357666015625,4,3,timeout
14960,queries/tpch/SQLStorm/14960.sql,15.112366,237.76580810546875,7,6,timeout
14967,queries/tpch/SQLStorm/14967.sql,15.154212,245.19720458984372,4,3,timeout
14969,queries/tpch/SQLStorm/14969.sql,15.065812,85.6402587890625,8,6,timeout
14970,queries/tpch/SQLStorm/14970.sql,15.12994,201.54022216796875,7,6,timeout
14973,queries/tpch/SQLStorm/14973.sql,15.067707,90.42742919921875,4,3,timeout
14974,queries/tpch/SQLStorm/14974.sql,15.162259,250.329833984375,7,6,timeout
1498,queries/tpch/SQLStorm/1498.sql,15.118463,82.30810546875,5,5,timeout
14986,queries/tpch/SQLStorm/14986.sql,15.077795,90.46868896484376,4,3,timeout
14988,queries/tpch/SQLStorm/14988.sql,15.064907,91.39086914062499,4,3,timeout
15035,queries/tpch/SQLStorm/15035.sql,15.288924,241.04736328125,7,6,timeout
15064,queries/tpch/SQLStorm/15064.sql,15.103465,217.62225341796875,3,2,timeout
1509,queries/tpch/SQLStorm/1509.sql,15.117822,82.49945068359375,7,7,timeout
1514,queries/tpch/SQLStorm/1514.sql,15.175552,84.03570556640625,5,4,timeout
15255,queries/tpch/SQLStorm/15255.sql,15.091639,95.5499267578125,4,3,timeout
